localities,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),crime_total,area_total,longitude,latatitude,area/1000000,crime_total/area
ROHINI SOUTH,8,565,1,102,15,27,7,725,2661754.515,77.1159,28.70236,2.661754515,272.3767334
ROHINI NORTH,4,430,2,21,18,24,10,496,2088891.047,77.11815,28.70894,2.088891047,237.4465632
RANI BAGH,4,501,2,62,25,28,11,617,2986936.008,77.11933,28.69784,2.986936008,206.566193
RAJOURI GARDEN,3,572,1,40,7,21,5,636,1811155.032,77.1196,28.65151,1.811155032,351.1571283
RAJOURI GARDEN,3,572,1,43,8,23,6,656,1743836.177,77.11992,28.63969,1.743836177,376.1821257
MAYA PURI,5,261,3,20,22,29,18,358,2565966.936,77.12084,28.62657,2.565966936,139.5185554
KN KATJU MARG,3,278,1,17,3,9,5,303,8263691.053,77.121,28.73043,8.263691053,36.66642401
DELHI CANTT,3,251,1,30,7,10,4,293,42848565.53,77.12437,28.59872,42.84856553,6.838035215
PRASHANT VIHAR,9,462,1,47,9,42,16,586,2088891.047,77.12757,28.71793,2.088891047,280.5316251
PUNJABI BAGH,11,1256,1,70,25,57,21,1441,2589522.76,77.13276,28.67441,2.58952276,556.4731935
KIRTI NAGAR,8,208,3,19,16,24,9,274,1524188.275,77.13509,28.64053,1.524188275,179.7678177
NARAINA,4,430,1,31,11,19,13,509,14949505.61,77.13777,28.63356,14.94950561,34.04794869
ALIPUR,8,325,2,58,15,25,19,452,51557687.04,77.13913,28.79903,51.55768704,8.766878926
SAMAYPURBADLI,2,79,1,11,2,10,3,108,3262077.133,77.14219,28.72516,3.262077133,33.10773952
SUBHASH PLACE,12,595,2,60,15,6,27,701,897284.618,77.14412,28.68901,0.897284618,781.2459792
INDERPURI,2,217,1,23,13,34,6,296,1267608.419,77.14501,28.63077,1.267608419,233.510598
MAURYA ENCLAVE,6,364,2,31,14,46,22,472,5891468.123,77.14605,28.70045,5.891468123,80.115854
MOTI NAGAR,4,819,1,47,24,42,25,949,3160817.262,77.14659,28.66013,3.160817262,300.2388058
FATEHPUR BERI,9,688,1,66,11,10,11,796,35907807.07,77.15114,28.46549,35.90780707,22.16788116
VASANT KUNJ NORTH,4,653,1,38,8,15,3,709,14117583.72,77.15232,28.53486,14.11758372,50.22105865
VASANT KUNJ SOUTH,2,70,1,4,1,2,4,84,14117583.72,77.15236,28.53492,14.11758372,5.950026695
